#{"t_start": 1644933944.9352021, "env_id": "NeedleReach-v0"}
r,l,t
-50.0,50,2.979511
-50.0,50,4.014859
-50.0,50,4.754904
-50.0,50,5.647975
-50.0,50,6.494313
-50.0,50,7.397964
-50.0,50,8.274225
-50.0,50,9.102609
-50.0,50,9.9439
-50.0,50,10.744431
-50.0,50,11.647936
-50.0,50,12.431309
-50.0,50,13.214746
-50.0,50,14.080743
-50.0,50,14.857619
-50.0,50,15.641458
-50.0,50,16.437306
-50.0,50,17.213734
-50.0,50,18.027185
-50.0,50,18.827554
-50.0,50,19.627573
-50.0,50,20.506071
-50.0,50,21.281821
-50.0,50,22.07379
-50.0,50,22.867049
-50.0,50,23.686601
-50.0,50,24.554779
-50.0,50,25.375628
-50.0,50,26.181852
-50.0,50,26.917349
-50.0,50,27.662799
-50.0,50,28.550798
-50.0,50,29.37767
-50.0,50,30.155993
-50.0,50,31.053581
-50.0,50,31.914303
-50.0,50,32.684424
-50.0,50,33.507999
-50.0,50,34.413492
-50.0,50,35.207415
-50.0,50,36.034134
-50.0,50,36.928302
-50.0,50,37.826817
-50.0,50,38.612622
-50.0,50,39.353329
-50.0,50,40.143098
-50.0,50,40.931281
-50.0,50,41.713825
-50.0,50,42.535934
-50.0,50,43.382776
-50.0,50,44.260204
-50.0,50,45.116973
-50.0,50,46.004297
-50.0,50,46.811511
-50.0,50,47.681928
-50.0,50,48.46479
-50.0,50,49.251651
-50.0,50,50.305072
-50.0,50,51.160141
-50.0,50,51.943035
-50.0,50,52.74817
-50.0,50,53.771791
-50.0,50,54.588041
-50.0,50,55.374748
-50.0,50,56.274646
-50.0,50,57.009819
-50.0,50,57.921311
-50.0,50,58.666046
-50.0,50,59.53521
-50.0,50,60.420336
-50.0,50,61.146299
-50.0,50,61.927328
-50.0,50,62.717851
-50.0,50,63.518235
-50.0,50,64.248358
-50.0,50,65.092637
-50.0,50,65.952828
-50.0,50,66.710082
-50.0,50,67.488491
-50.0,50,68.230617
-50.0,50,68.972534
-50.0,50,69.817455
-50.0,50,70.649869
-50.0,50,71.459897
-50.0,50,72.316309
-50.0,50,73.064869
-50.0,50,73.828486
-50.0,50,74.713385
-50.0,50,75.457849
-50.0,50,76.284557
-50.0,50,77.056598
-50.0,50,77.807349
-50.0,50,78.569448
-50.0,50,79.449034
-50.0,50,80.202177
-50.0,50,80.987915
-50.0,50,81.824705
-50.0,50,82.600829
-50.0,50,83.400257
-50.0,50,84.237611
